state,state.short,region,region.five,Division,lag,long
Alabama,AL,Southeast,South,East South Central,32.806671,-86.79113
Alaska,AK,West,West,Pacific,61.370716,-152.404419
Arizona,AZ,Southwest,West,Mountain,33.729759,-111.431221
Arkansas,AR,South,South,West South Central,34.969704,-92.373123
California,CA,West,West,Pacific,36.116203,-119.681564
Colorado,CO,Southwest,West,Mountain,39.059811,-105.311104
Connecticut,CT,Northeast,Northeast,New England,41.597782,-72.755371
Delaware,DE,Northeast,South,South Atlantic,39.318523,-75.507141
Florida,FL,Southeast,South,South Atlantic,27.766279,-81.686783
Georgia,GA,Southeast,South,South Atlantic,33.040619,-83.643074
Hawaii,HI,West,West,Pacific,21.094318,-157.498337
Idaho,ID,Northwest,West,Mountain,44.240459,-114.478828
Illinois,IL,Central,Midwest,East North Central,40.349457,-88.986137
Indiana,IN,Central,Midwest,East North Central,39.849426,-86.258278
Iowa,IA,East North Central,Midwest,West North Central,42.011539,-93.210526
Kansas,KS,South,Midwest,West North Central,38.5266,-96.726486
Kentucky,KY,Central,South,East South Central,37.66814,-84.670067
Louisiana,LA,South,South,West South Central,31.169546,-91.867805
Maine,ME,Northeast,Northeast,New England,44.693947,-69.381927
Maryland,MD,Northeast,South,South Atlantic,39.063946,-76.802101
Massachusetts,MA,Northeast,Northeast,New England,42.230171,-71.530106
Michigan,MI,East North Central,Midwest,East North Central,43.326618,-84.536095
Minnesota,MN,East North Central,Midwest,West North Central,45.694454,-93.900192
Mississippi,MS,South,South,East South Central,32.741646,-89.678696
Missouri,MO,Central,Midwest,West North Central,38.456085,-92.288368
Montana,MT,West North Central,West,Mountain,46.921925,-110.454353
Nebraska,NE,West North Central,Midwest,West North Central,41.12537,-98.268082
Nevada,NV,West,West,Mountain,38.313515,-117.055374
New Hampshire,NH,Northeast,Northeast,New England,43.452492,-71.563896
New Jersey,NJ,Northeast,Northeast,Middle Atlantic,40.298904,-74.521011
New Mexico,NM,Southwest,West,Mountain,34.840515,-106.248482
New York,NY,Northeast,Northeast,Middle Atlantic,42.165726,-74.948051
North Carolina,NC,Southeast,South,South Atlantic,35.630066,-79.806419
North Dakota,ND,West North Central,Midwest,West North Central,47.528912,-99.784012
Ohio,OH,Central,Midwest,East North Central,40.388783,-82.764915
Oklahoma,OK,South,South,West South Central,35.565342,-96.928917
Oregon,OR,Northwest,West,Pacific,44.572021,-122.070938
Pennsylvania,PA,Northeast,Northeast,Middle Atlantic,40.590752,-77.209755
Rhode Island,RI,Northeast,Northeast,New England,41.680893,-71.51178
South Carolina,SC,Southeast,South,South Atlantic,33.856892,-80.945007
South Dakota,SD,West North Central,Midwest,West North Central,44.299782,-99.438828
Tennessee,TN,Central,South,East South Central,35.747845,-86.692345
Texas,TX,South,South,West South Central,31.054487,-97.563461
Utah,UT,Southwest,West,Mountain,40.150032,-111.862434
Vermont,VT,Northeast,Northeast,New England,44.045876,-72.710686
Virginia,VA,Southeast,South,South Atlantic,37.769337,-78.169968
Washington,WA,Northwest,West,Pacific,47.400902,-121.490494
West Virginia,WV,Central,South,South Atlantic,38.491226,-80.954453
Wisconsin,WI,East North Central,Midwest,East North Central,44.268543,-89.616508
Wyoming,WY,West North Central,West,Mountain,42.755966,-107.30249
,,,,,,
